accuracy_denominator,circuits,configuration_exact_matches,device_exact_matches,failures,first_attempt_json_valid,first_attempt_schema_valid,first_attempt_valid,group_field,group_value,median_call_seconds,median_regret_absolute,oracle_available,output_tokens_observed_lower_bound,pair_exact_matches,peak_gpu_bytes,peak_ram_bytes,regret_available,repairs,token_complete_circuits,total_call_seconds,total_llm_calls,total_output_tokens,transport_retries,trial_id,valid_and_compilable,valid_decisions
0,8,0,0,{},8,8,8,num_qubits,9,10.55193354249991,,0,915,0,5824016384,1070927872,0,0,8,90.61729083999899,8,915,0,qwen/p0_t0,8,8
0,14,0,0,{},14,14,14,family,pricing,2.2874600855000153,,0,1647,0,5819797504,1017769984,0,0,14,136.07346414599942,14,1647,0,qwen/p0_t07,14,14
18,74,11,4,{},74,74,74,family,qft,3.608391589999883,0.0019003071000000538,18,8570,3,5824278528,1070616576,18,0,74,659.9906862180028,74,8570,0,qwen/p0_t07,74,74
0,4,0,0,{},4,4,4,num_qubits,10,2.987041158500233,,0,482,0,5824016384,1020284928,0,0,4,32.80483432700066,4,482,0,qwen/p0_t07,4,4
0,6,0,0,{},6,6,6,num_qubits,11,3.250162993499771,,0,721,0,5824016384,1017479168,0,0,6,83.09161676699932,6,721,0,qwen/p0_t07,6,6
0,4,0,0,{},4,4,4,num_qubits,12,11.348826982999753,,0,483,0,5824016384,1070616576,0,0,4,46.19286421700008,4,483,0,qwen/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,13,2.9945483599999534,,0,461,0,5824016384,1017421824,0,0,4,31.129046405999816,4,461,0,qwen/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,14,2.921500527000262,,0,460,0,5824016384,1017651200,0,0,4,32.14006079400042,4,460,0,qwen/p0_t07,4,4
0,2,0,0,{},2,2,2,num_qubits,15,12.899818191000122,,0,235,0,5824016384,1016061952,0,0,2,25.799636382000244,2,235,0,qwen/p0_t07,2,2
0,2,0,0,{},2,2,2,num_qubits,16,12.221752673499623,,0,218,0,5824016384,1016123392,0,0,2,24.443505346999245,2,218,0,qwen/p0_t07,2,2
0,1,0,0,{},1,1,1,num_qubits,17,2.52673478800034,,0,153,0,5820862464,1016209408,0,0,1,2.52673478800034,1,153,0,qwen/p0_t07,1,1
4,4,2,0,{},4,4,4,num_qubits,2,10.489729535000151,0.0019003071000000538,4,397,0,5824016384,1016606720,4,0,4,42.76954246400055,4,397,0,qwen/p0_t07,4,4
4,4,1,1,{},4,4,4,num_qubits,3,2.8867411854998863,0.0017056340000000114,4,486,1,5824016384,1017126912,4,0,4,11.400005927000166,4,486,0,qwen/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,30,12.535789732999774,,0,450,0,5824016384,1017344000,0,0,4,49.99447398100028,4,450,0,qwen/p0_t07,4,4
4,4,3,1,{},4,4,4,num_qubits,4,11.541963369000314,0.0029232812000000163,4,488,0,5824278528,1017171968,4,0,4,47.80355703300029,4,488,0,qwen/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,40,2.5139953939999486,,0,438,0,5824278528,1019330560,0,0,4,10.929555576999974,4,438,0,qwen/p0_t07,4,4
4,8,3,0,{},8,8,8,num_qubits,5,9.836020067999698,0.02117756425000006,4,940,0,5824278528,1017122816,4,0,8,87.47294794900017,8,940,0,qwen/p0_t07,8,8
0,4,0,0,{},4,4,4,num_qubits,50,11.888166283000373,,0,419,0,5824278528,1055752192,0,0,4,48.31750896600033,4,419,0,qwen/p0_t07,4,4
2,4,2,2,{},4,4,4,num_qubits,6,2.87345993550025,0.0,2,514,2,5824016384,1017270272,2,0,4,12.411674364000646,4,514,0,qwen/p0_t07,4,4
0,3,0,0,{},3,3,3,num_qubits,60,1.7559745239996118,,0,342,0,5824016384,1017167872,0,0,3,27.336169501999393,3,342,0,qwen/p0_t07,3,3
0,8,0,0,{},8,8,8,num_qubits,7,2.711011199499808,,0,924,0,5824016384,1019379712,0,0,8,75.29146253699946,8,924,0,qwen/p0_t07,8,8
0,2,0,0,{},2,2,2,num_qubits,70,3.203036950999831,,0,246,0,5824016384,1017163776,0,0,2,6.406073901999662,2,246,0,qwen/p0_t07,2,2
0,4,0,0,{},4,4,4,num_qubits,8,3.125588648000303,,0,427,0,5824016384,1019609088,0,0,4,29.326108086001113,4,427,0,qwen/p0_t07,4,4
0,8,0,0,{},8,8,8,num_qubits,9,4.306950583500111,,0,933,0,5824016384,1017372672,0,0,8,68.47677104800005,8,933,0,qwen/p0_t07,8,8
0,14,0,0,{},14,14,14,family,pricing,2.631801684000038,,0,1850,0,5819797504,1071910912,0,0,14,97.7892816489998,14,1850,0,qwen/p1_t0,14,14
18,74,7,6,"{""transport_failure"": 1}",73,73,73,family,qft,4.393185045500104,0.005555324300000053,18,8478,3,5824278528,1072803840,18,0,73,678.9726241640005,74,,0,qwen/p1_t0,73,73
0,4,0,0,{},4,4,4,num_qubits,10,11.341913603499961,,0,474,0,5824016384,1072619520,0,0,4,45.37298453800122,4,474,0,qwen/p1_t0,4,4
0,6,0,0,{},6,6,6,num_qubits,11,2.5521594230001483,,0,724,0,5824016384,1072685056,0,0,6,37.6783139030008,6,724,0,qwen/p1_t0,6,6
0,4,0,0,{},4,4,4,num_qubits,12,3.2979234324998288,,0,470,0,5824016384,1072738304,0,0,4,33.56953410699998,4,470,0,qwen/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,13,11.716096700000435,,0,500,0,5824016384,1072218112,0,0,4,48.205364407000616,4,500,0,qwen/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,14,3.728298418000122,,0,504,0,5824016384,1072803840,0,0,4,33.0831308780007,4,504,0,qwen/p1_t0,4,4
0,2,0,0,{},2,2,2,num_qubits,15,3.2598062355000366,,0,221,0,5824016384,1070522368,0,0,2,6.519612471000073,2,221,0,qwen/p1_t0,2,2
0,2,0,0,{},2,2,2,num_qubits,16,12.285389484999769,,0,221,0,5824016384,1056161792,0,0,2,24.570778969999537,2,221,0,qwen/p1_t0,2,2
0,1,0,0,{},1,1,1,num_qubits,17,2.0372252910001407,,0,98,0,5821911040,1070428160,0,0,1,2.0372252910001407,1,98,0,qwen/p1_t0,1,1
4,4,1,4,{},4,4,4,num_qubits,2,11.761189431000275,0.000600740550000034,4,439,1,5824016384,1070874624,4,0,4,48.292078856000444,4,439,0,qwen/p1_t0,4,4
4,4,0,0,{},4,4,4,num_qubits,3,11.576905268500013,0.003630479150000032,4,434,0,5824016384,1071673344,4,0,4,47.125575080999624,4,434,0,qwen/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,30,3.3657919525001034,,0,497,0,5824016384,1072369664,0,0,4,14.04403785399927,4,497,0,qwen/p1_t0,4,4
4,4,1,0,{},4,4,4,num_qubits,4,11.306403489500099,0.0070976043500000086,4,456,0,5824278528,1070555136,4,0,4,47.78807775900077,4,456,0,qwen/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,40,12.200890671000025,,0,402,0,5824278528,1072168960,0,0,4,50.67960127699962,4,402,0,qwen/p1_t0,4,4
4,8,3,0,{},8,8,8,num_qubits,5,3.492107987500276,0.02887577985000006,4,964,0,5824278528,1071656960,4,0,8,54.51815854999904,8,964,0,qwen/p1_t0,8,8
0,4,0,0,{},4,4,4,num_qubits,50,11.524357224499909,,0,401,0,5824278528,1071165440,0,0,4,46.88096185299946,4,401,0,qwen/p1_t0,4,4
2,4,2,2,"{""transport_failure"": 1}",3,3,3,num_qubits,6,3.8154098280001563,0.0,2,329,2,5824278528,1072377856,2,0,3,32.035290375000386,4,,0,qwen/p1_t0,3,3
0,3,0,0,{},3,3,3,num_qubits,60,2.8049582290004764,,0,425,0,5824016384,1071955968,0,0,3,10.446865113999593,3,425,0,qwen/p1_t0,3,3
0,8,0,0,{},8,8,8,num_qubits,7,3.6243479055001444,,0,1035,0,5824016384,1072427008,0,0,8,74.77011533400082,8,1035,0,qwen/p1_t0,8,8
0,2,0,0,{},2,2,2,num_qubits,70,10.698493333499755,,0,299,0,5824016384,1071820800,0,0,2,21.39698666699951,2,299,0,qwen/p1_t0,2,2
0,4,0,0,{},4,4,4,num_qubits,8,13.494816038999943,,0,444,0,5824016384,1072545792,0,0,4,51.997846850000315,4,444,0,qwen/p1_t0,4,4
0,8,0,0,{},8,8,8,num_qubits,9,2.868767692500114,,0,991,0,5824016384,1071525888,0,0,8,45.74936567799841,8,991,0,qwen/p1_t0,8,8
